pubchem_id,iupac_name,common_name,smile,molecular_weight,num_h_donors,num_h_acceptors,num_rotatablebonds,complexity,topological_polor_surfacearea,monoisotopic_mass,exact_mass,xlogp3,formal_charge,heavy_atom_count,defined_atom_stereocenter_count,undefined_atom_stereocenter_count,defined_bond_stereocenter_count,undefined_bond_stereocenter_count,isotope_atom_count,covalently_bonded_unit_count,cas_id,fema_number,fema_flavor_profile,odor,taste,functional_groups
135,4-hydroxybenzoic acid,4-hydroxybenzoic acid,C1=CC(=CC=C1C(=O)O)O,138.122,2,3,1,125,57.5,138.032,138.032,1.6,0,10,0,0,0,0,0,1,99-96-7,3986,Not Available,not available,not available,hydroxy compound@phenol or hydroxyhetarene@carboxylic acid derivative@carboxylic acid@aromatic compound
176,acetic acid,acetic acid,CC(=O)O,60.052,1,2,0,31,37.3,60.021,60.021,-0.2,0,4,0,0,0,0,0,1,64-19-7@68475-71-8@77671-22-8@834904-91-5,2006,"Acid, Fruit, Pungent, Sour, Vinegar","pungent@sour, vinegar-like odor",burning taste,carboxylic acid derivative@carboxylic acid
177,acetaldehyde,acetaldehyde,CC=O,44.053,0,1,0,10.3,17.1,44.026,44.026,-0.3,0,3,0,0,0,0,0,1,75-07-0,2003,"Floral, Green Apple","pungent, fruity odor@pungent, suffocating odor that is somewhat fruity and quite pleasant in dilute concentrations.",tart taste (fruits containing acetaldehyde before ripening),carbonyl compound@aldehyde
178,acetamide,acetamide,CC(=O)N,59.068,1,1,0,33,43.1,59.037,59.037,-0.9,0,4,0,0,0,0,0,1,60-35-5@9015-82-1,Not Available,Not Available,"odorless when pure, but frequently has a mousy odor",pure acetamide has a bitter taste,carboxylic acid derivative@carboxylic acid amide@primary carboxylic acid amide
179,3-hydroxybutan-2-one,acetoin,CC(C(=O)C)O,88.106,1,2,1,58.6,37.3,88.052,88.052,-0.3,0,6,0,1,0,0,0,1,513-86-0,2008,"Butter, Creamy, Green Pepper","bland, woody, yogurt odor@buttery odor","fatty creamy ""tub"" butter taste",carbonyl compound@ketone@hydroxy compound@alcohol@secondary alcohol
180,propan-2-one,acetone,CC(=O)C,58.08,0,1,0,26.3,17.1,58.042,58.042,-0.1,0,4,0,0,0,0,0,1,4468-52-4@67-64-1,3326,Pungent,characteristic odor@fruity odor,"pungent, sweetish",carbonyl compound@ketone
196,hexanedioic acid,adipic acid,C(CCC(=O)O)CC(=O)O,146.142,2,4,5,114,74.6,146.058,146.058,0.1,0,10,0,0,0,0,0,1,124-04-9@25666-61-9,2011,Not Available,odorless,sour tasting@tart taste,carboxylic acid derivative@carboxylic acid
239,3-aminopropanoic acid,beta-alanine,C(CN)C(=O)O,89.094,2,3,2,52.8,63.3,89.048,89.048,-3,0,6,0,0,0,0,0,1,107-95-9,3252,Not Available,not available,not available,amine@primary amine@primary aliphatic amine (alkylamine)@carboxylic acid derivative@carboxylic acid
240,benzaldehyde,benzaldehyde,C1=CC=C(C=C1)C=O,106.124,0,1,1,72.5,17.1,106.042,106.042,1.5,0,8,0,0,0,0,0,1,100-52-7,2127,"Bitter Almond, Burnt Sugar, Cherry, Malt, Roasted Pepper",characteristic odor or volatile oil of almond@odor resembling oil of bitter almond,burning aromatic taste@similar to bitter almond,carbonyl compound@aldehyde@aromatic compound
243,benzoic acid,benzoic acid,C1=CC=C(C=C1)C(=O)O,122.123,1,2,1,104,37.3,122.037,122.037,1.9,0,9,0,0,0,0,0,1,117500-35-3@65-85-0,2131,"Pungent, Sour","faint, pleasant odor@odorless or with a slight benzaldehyde odor",almost tasteless /benzoic acid usp/@bitter taste@taste detection 8.5x10+1 ppm /media and purity not specified/,carboxylic acid derivative@carboxylic acid@aromatic compound
244,phenylmethanol,benzyl alcohol,C1=CC=C(C=C1)CO,108.14,1,1,1,55.4,20.2,108.058,108.058,1.1,0,8,0,0,0,0,0,1,100-51-6,2137,"Boiled Cherries, Moss, Roasted Bread, Rose",faint aromatic odor,sharp burning taste,hydroxy compound@alcohol@primary alcohol@aromatic compound
247,2-(trimethylazaniumyl)acetate,betaine,C[N+](C)(C)CC(=O)[O-],117.148,0,2,1,87.6,40.1,117.079,117.079,0.5,0,8,0,0,0,0,0,1,107-43-7@590-46-5,4223,"Savory, Umami",not available,sweet,cation@anion@quaternary ammonium salt@carboxylic acid derivative@carboxylic acid salt
261,butanal,butyraldehyde,CCCC=O,72.107,0,1,2,24.8,17.1,72.058,72.058,0.9,0,5,0,0,0,0,0,1,123-72-8,2219,"Banana, Green, Pungent","characteristic, pungent, aldehyde odor",not available,carbonyl compound@aldehyde
262,"butane-2,3-diol","2,3-butanediol",CC(C(C)O)O,90.122,2,2,1,30.5,40.5,90.068,90.068,-0.9,0,6,0,2,0,0,0,1,513-85-9,Not Available,Not Available,odorless,sweet taste,"hydroxy compound@alcohol@secondary alcohol@1,2-diol"
263,butan-1-ol,1-butanol,CCCCO,74.123,1,1,2,13.1,20.2,74.073,74.073,0.9,0,5,0,0,0,0,0,1,14254-05-8@35296-72-1@5593-70-4@71-36-3,2178,Fruit,"harsh fusel odor with banana@odor similar to amyl alcohol@rancid, sweet@strong characteristic, mildly alcoholic odor","5.00x10-1 ppm (taste detection in water, gas chromatically pure)@banana, fusel taste@dry, burning taste",hydroxy compound@alcohol@primary alcohol
264,butanoic acid,butyric acid,CCCC(=O)O,88.106,1,2,2,49.5,37.3,88.052,88.052,0.8,0,6,0,0,0,0,0,1,107-92-6@1977-33-9,2221,"Butter, Cheese, Sour","penetrating and obnoxious odor@unpleasant, rancid odor",butter-fat taste,carboxylic acid derivative@carboxylic acid
284,formic acid,formic acid,C(=O)O,46.025,1,2,0,10.3,37.3,46.005,46.005,-0.2,0,3,0,0,0,0,0,1,64-18-6@992-98-3,2487,Savory,"pungent, penetrating odor",sour,carboxylic acid derivative@carboxylic acid
311,"2-hydroxypropane-1,2,3-tricarboxylic acid",citric acid,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,192.123,4,7,5,227,132,192.027,192.027,-1.7,0,13,0,0,0,0,0,1,"3458-72-8@6018-92-4@77-92-9@77-92-9, 5949-29-1",2306,Not Available,odorless,"pleasant, sweet, tart taste@strongly acidic taste",hydroxy compound@alcohol@tertiary alcohol@carboxylic acid derivative@carboxylic acid@alpha-hydroxyacid
313,chlorane,hydrochloric acid,Cl,36.458,1,0,0,0,0,35.977,35.977,0.8,0,1,0,0,0,0,0,1,13981-43-6@7647-01-0@7698-05-7@8006-82-4@8029-68-3@9003-97-8@9066-59-5,2845@2851,Not Available,"pungent, irritating odor","1.10x10-4 m/l (recognition in water, chemically pure)@1.30x10-4 m/l (recognition in water, chemically pure)@taste threshold: 1.60x10-4 moles/l (recognition in water, chemically pure)",Not Available
323,chromen-2-one,coumarin,C1=CC=C2C(=C1)C=CC(=O)O2,146.145,0,2,0,196,26.3,146.037,146.037,1.4,0,11,0,0,0,0,0,1,91-64-5,Not Available,Not Available,"hay-like bittersweet odor@pleasant, fragrant odor resembling that of vanilla beans.","bitter undertone@bitter, aromatic@burning taste@nut-like flavor on dilution",oxo(het)arene@aromatic compound@heterocyclic compound
325,(4-propan-2-ylphenyl)methanol,4-isopropylbenzyl alcohol,CC(C)C1=CC=C(C=C1)CO,150.221,1,1,2,101,20.2,150.104,150.104,2.3,0,11,0,0,0,0,0,1,536-60-7,2933,"Herb, Wood",not available,not available,hydroxy compound@alcohol@primary alcohol@aromatic compound
326,4-propan-2-ylbenzaldehyde,4-isopropylbenzaldehyde,CC(C)C1=CC=C(C=C1)C=O,148.205,0,1,2,121,17.1,148.089,148.089,2.7,0,11,0,0,0,0,0,1,0122-03-02,2341,"Acid, Green, Herb, Sharp",not available,not available,carbonyl compound@aldehyde@aromatic compound
332,4-ethenyl-2-methoxyphenol,2-methoxy-4-vinylphenol,COC1=C(C=CC(=C1)C=C)O,150.177,1,2,2,134,29.5,150.068,150.068,2.4,0,11,0,0,0,0,0,1,31853-85-7@7786-61-0,2675,"Clove, Curry, Spice",not available,not available,hydroxy compound@phenol or hydroxyhetarene@ether@alkyl aryl ether@alkene@aromatic compound
335,2-methylphenol,o-cresol,CC1=CC=CC=C1O,108.14,1,1,0,70.8,20.2,108.058,108.058,2,0,8,0,0,0,0,0,1,84989-04-8@95-48-7,3480,Not Available,"phenolic odor@sweet, tarry odor",not available,hydroxy compound@phenol or hydroxyhetarene@aromatic compound
338,2-hydroxybenzoic acid,salicylic acid,C1=CC=C(C(=C1)C(=O)O)O,138.122,2,3,1,133,57.5,138.032,138.032,2.3,0,10,0,0,0,0,0,1,29656-58-4@69-72-7@94891-34-6@97952-82-4,3985,Not Available,synthetic acid is odorless,"acrid taste@it has sweetish, afterward acrid, taste",hydroxy compound@phenol or hydroxyhetarene@carboxylic acid derivative@carboxylic acid@aromatic compound
342,3-methylphenol,m-cresol,CC1=CC(=CC=C1)O,108.14,1,1,0,70.8,20.2,108.058,108.058,2,0,8,0,0,0,0,0,1,108-39-4@15831-10-4,3530,Not Available,"distinct phenolic odor, with an odor threshold of 5 ppm@odor of coal tar@phenolic odor@sweet, tarry odor@sometimes referred to as an empyreumatic odor",taste threshold: 2.00x10-3 ppm,hydroxy compound@phenol or hydroxyhetarene@aromatic compound
356,octane,octane,CCCCCCCC,114.232,0,0,5,25,0,114.141,114.141,3.9,0,8,0,0,0,0,0,1,111-65-9@31372-91-5@50985-84-7,Not Available,Not Available,gasoline-like,not available,Not Available
379,octanoic acid,octanoic acid,CCCCCCCC(=O)O,144.214,1,2,6,89.3,37.3,144.115,144.115,3,0,10,0,0,0,0,0,1,124-07-2@68937-74-6,2799,"Cheese, Fat, Grass, Oil","faint, fruity-acid odor@slight odor@unpleasant and irritating odor",slightly sour taste@slightly unpleasant rancid taste,carboxylic acid derivative@carboxylic acid
402,sulfane,hydrogen sulfide,S,34.076,1,1,0,0,1,33.988,33.988,0.5,0,1,0,0,0,0,0,1,37331-50-3@7704-34-9@7783-06-4,3779,Not Available,"pure sulfur is odorless, but traces of hydrocarbon impurity may impart an oily and/or rotten egg odor",faint taste@tasteless,Not Available
454,octanal,octanal,CCCCCCCC=O,128.215,0,1,6,59.6,17.1,128.12,128.12,2.7,0,9,0,0,0,0,0,1,124-13-0,2797,"Citrus, Fat, Green, Oil, Pungent","strong, fruity odor","characteristic pungent, fatty flavor",carbonyl compound@aldehyde
460,2-methoxyphenol,guaiacol,COC1=CC=CC=C1O,124.139,1,2,1,83,29.5,124.052,124.052,1.3,0,9,0,0,0,0,0,1,26638-03-9@8001-58-9@8021-39-4@90-05-1,2532,"Burnt, Phenol, Wood","aromatic odor@characteristic sweet odor, slightly phenolic",not available,hydroxy compound@phenol or hydroxyhetarene@ether@alkyl aryl ether@aromatic compound
473,4-methylsulfanyl-2-oxobutanoic acid,4-methylthio-2-oxobutanoic acid,CSCCC(=O)C(=O)O,148.176,1,4,4,121,79.7,148.019,148.019,0.3,0,9,0,0,0,0,0,1,583-92-6,3881,Not Available,not available,not available,carbonyl compound@ketone@thioether@carboxylic acid derivative@carboxylic acid
527,propanal,propionaldehyde,CCC=O,58.08,0,1,1,17.2,17.1,58.042,58.042,0.6,0,4,0,0,0,0,0,1,123-38-6,2923,"Floral, Pungent, Solvent","characteristic odor similar to acetaldehyde@choking odor@pungent, unpleasant@suffocating, fruity",not available,carbonyl compound@aldehyde
602,2-aminopropanoic acid,dl-alanine,CC(C(=O)O)N,89.094,2,3,1,61.8,63.3,89.048,89.048,-3,0,6,0,1,0,0,0,1,302-72-7,3818,Not Available,odorless,sweet taste,amine@primary amine@primary aliphatic amine (alkylamine)@carboxylic acid derivative@carboxylic acid@alpha-aminoacid
612,2-hydroxypropanoic acid,lactic acid,CC(C(=O)O)O,90.078,2,3,1,59.1,57.5,90.032,90.032,-0.7,0,6,0,1,0,0,0,1,26100-51-6@31587-11-8@50-21-5@598-82-3@92129-90-3,2611,Not Available,available forms have very slightly acrid odor@odorless@weak unpleasant odor,mild acid taste and does not overpower weaker aromatic flavors@taste is acrid,hydroxy compound@alcohol@secondary alcohol@carboxylic acid derivative@carboxylic acid@alpha-hydroxyacid
650,"butane-2,3-dione","2,3-butanedione",CC(=O)C(=O)C,86.09,0,2,1,71.5,34.1,86.037,86.037,-1.3,0,6,0,0,0,0,0,1,0431-03-08,2370,"Butter, Pastry, Yeast",quinone odor@strong odor@very strong buttery odor in dilute solution@vapors have a chlorine-like odor,"taste characteristics at 50 ppm: sweet, buttery, creamy and milky@threshold taste detection in water (gas chromatically pure): 5.40x10-3 ppm@threshold taste detection in milk (gas chromatically pure): 1.40x10-2 ppm and 2.90x10-2 ppm@in water: 1.00x10-8% (volume/volume or wg/wg).@in skim milk: 1.00x10-1 ppm",carbonyl compound@ketone
660,"3,4-dihydrochromen-2-one",dihydrocoumarin,C1CC(=O)OC2=CC=CC=C21,148.161,0,2,0,165,26.3,148.052,148.052,1.6,0,11,0,0,0,0,0,1,119-84-6@86264-32-6,2381,Dairy,coconut odor@hay-like@herbal@odor similar to coumarin at room temp or reminiscent of nitrobenzene at higher temp.,burning@sweet then bitter,carboxylic acid derivative@carboxylic acid ester@lactone@aromatic compound@heterocyclic compound
670,"1,3-dihydroxypropan-2-one","1,3-dihydroxyacetone",C(C(=O)CO)O,90.078,2,3,2,44,57.5,90.032,90.032,-1.4,0,6,0,0,0,0,0,1,96-26-4,4033,"Mint, Cool",characteristic odor,"sweet, cooling taste",carbonyl compound@ketone@hydroxy compound@alcohol@primary alcohol
674,N-methylmethanamine,dimethylamine,CNC,45.085,1,1,0,2.8,12,45.058,45.058,-0.2,0,3,0,0,0,0,0,1,124-40-3@6912-12-5,Not Available,Not Available,... ammonia or fish-like odor ...,not available,amine@secondary amine@secondary aliphatic amine (dialkylamine)
679,methylsulfinylmethane,dimethyl sulfoxide,CS(=O)C,78.129,0,2,0,29,36.3,78.014,78.014,-0.6,0,4,0,0,0,0,0,1,67-68-5,3875,Garlic,distinctive garlic or oyster-like odor@slightly sulfurous odor,slightly bitter taste with sweet after-taste,sulfoxide
702,ethanol,ethanol,CCO,46.069,1,1,0,2.8,20.2,46.042,46.042,-0.1,0,3,0,0,0,0,0,1,"64-17-5@64-17-5, 97281-11-3@68475-56-9@68916-39-2@71076-86-3@71329-38-9",2419,Not Available,"mild, rather pleasant@weak, ethereal, vinous odor@like wine or whiskey",burning,hydroxy compound@alcohol@primary alcohol
750,2-aminoacetic acid,glycine,C(C(=O)O)N,75.067,2,3,1,42.9,63.3,75.032,75.032,-3.2,0,5,0,0,0,0,0,1,18875-39-3@25718-94-9@56-40-6,3287,Not Available,odorless,sweet,amine@primary amine@primary aliphatic amine (alkylamine)@carboxylic acid derivative@carboxylic acid@alpha-aminoacid
753,"propane-1,2,3-triol",glycerol,C(C(CO)O)O,92.094,3,3,2,25.2,60.7,92.047,92.047,-1.8,0,6,0,0,0,0,0,1,25618-55-7@56-81-5@8013-25-0@8043-29-6,2525,Not Available,mild odor@odorless,"sweet, warm taste","hydroxy compound@alcohol@primary alcohol@secondary alcohol@1,2-diol"
785,"benzene-1,4-diol",hydroquinone,C1=CC(=CC=C1O)O,110.112,2,2,0,54.9,40.5,110.037,110.037,0.6,0,8,0,0,0,0,0,1,123-31-9,Not Available,Not Available,odorless,a slightly bitter taste in aqueous solutions,hydroxy compound@phenol or hydroxyhetarene@aromatic compound
791,2-amino-3-methylpentanoic acid,dl-isoleucine,CCC(C)C(C(=O)O)N,131.175,2,3,3,103,63.3,131.095,131.095,-1.7,0,9,0,2,0,0,0,1,443-79-8,3295,Nuts,not available,bitter,amine@primary amine@primary aliphatic amine (alkylamine)@carboxylic acid derivative@carboxylic acid@alpha-aminoacid
798,1H-indole,indole,C1=CC=C2C(=C1)C=CN2,117.151,1,0,0,101,15.8,117.058,117.058,2.1,0,9,0,0,0,0,0,1,120-72-9,2593,"Burnt, Mothball","almost floral odor when highly purified, otherwise exhibits characteristic odor of feces@light jasmine odor@unpleasant odor in high concentration but pleasant in dilute solution.",not available,aromatic compound@heterocyclic compound
875,"2,3-dihydroxybutanedioic acid",dl-tartaric acid,C(C(C(=O)O)O)(C(=O)O)O,150.086,4,6,3,134,115,150.016,150.016,-1.9,0,10,0,2,0,0,0,1,133-37-9@526-83-0@868-14-4,3044,Not Available,not available,pleasant acidulous taste,"hydroxy compound@alcohol@secondary alcohol@1,2-diol@carboxylic acid derivative@carboxylic acid@alpha-hydroxyacid"
876,2-amino-4-methylsulfanylbutanoic acid,dl-methionine,CSCCC(C(=O)O)N,149.208,2,4,4,97,88.6,149.051,149.051,-1.9,0,9,0,1,0,0,0,1,26062-47-5@59-51-8,3301,Savory,faint,sulfurous,thioether@amine@primary amine@primary aliphatic amine (alkylamine)@carboxylic acid derivative@carboxylic acid@alpha-aminoacid
878,methanethiol,methanethiol,CS,48.103,1,1,0,2,1,48.003,48.003,0.5,0,2,0,0,0,0,0,1,74-93-1,2716,"Cabbage, Garlic, Pungent, Sulfur","disagreeable odor like garlic@odor of rotten cabbage@powerful, unpleasant odor@pungent, decayed cabbage.@sulfidy",unpleasant cabbage taste,thiol (sulfanyl compound)@alkylthiol
880,2-oxopropanal,methylglyoxal,CC(=O)C=O,72.063,0,2,1,55.9,34.1,72.021,72.021,-0.4,0,5,0,0,0,0,0,1,78-98-8,2969,Savory,pungent,not available,carbonyl compound@aldehyde@ketone
887,methanol,methanol,CO,32.042,1,1,0,2,20.2,32.026,32.026,-0.5,0,2,0,0,0,0,0,1,67-56-1,Not Available,Not Available,alcoholic odor@characteristic pungent odor@pungent odor when crude,not available,hydroxy compound@alcohol@primary alcohol
931,naphthalene,naphthalene,C1=CC=C2C=CC=CC2=C1,128.174,0,0,0,80.6,0,128.063,128.063,3.3,0,10,0,0,0,0,0,1,68412-25-9@91-20-3,Not Available,Not Available,aromatic odor@characteritic odor (plates)@odor of mothballs,not available,aromatic compound
948,nitrous oxide,nitrous oxide,N#[N+][O-],44.013,0,2,0,29.3,54.5,44.001,44.001,0.5,0,3,0,0,0,0,0,1,10024-97-2,2779,Not Available,"slightly sweetish@weak, pleasant odor",slightly sweetish,nitroso compound
957,octan-1-ol,1-octanol,CCCCCCCCO,130.231,1,1,6,43.8,20.2,130.136,130.136,3,0,9,0,0,0,0,0,1,111-87-5@123-96-6@220713-26-8@67700-96-3@68603-15-6,2800,"Bitter Almond, Burnt Matches, Fat, Floral",fresh orange rose odor@penetrating aromatic odor,"oily, sweet, slightly herbaceous taste",hydroxy compound@alcohol@primary alcohol
964,3-hydroxy-2-oxopropanoic acid,3-hydroxypyruvic acid,C(C(=O)C(=O)O)O,104.061,2,4,2,95.1,74.6,104.011,104.011,-1,0,7,0,0,0,0,0,1,1113-60-6,3843,Savory,not available,not available,carbonyl compound@ketone@hydroxy compound@alcohol@primary alcohol@carboxylic acid derivative@carboxylic acid
971,oxalic acid,oxalic acid,C(=O)(C(=O)O)O,90.034,2,4,1,71.5,74.6,89.995,89.995,-0.3,0,6,0,0,0,0,0,1,"144-62-7@144-62-7, 6153-56-6@547-66-0@68603-87-2",Not Available,Not Available,odorless.,not available,carboxylic acid derivative@carboxylic acid
985,hexadecanoic acid,palmitic acid,CCCCCCCCCCCCCCCC(=O)O,256.43,1,2,14,178,37.3,256.24,256.24,6.4,0,18,0,0,0,0,0,1,159733-92-3@57-10-3@67701-02-4,2832,Not Available,not available,not available,carboxylic acid derivative@carboxylic acid
994,2-amino-3-phenylpropanoic acid,dl-phenylalanine,C1=CC=C(C=C1)CC(C(=O)O)N,165.192,2,3,3,153,63.3,165.079,165.079,-1.5,0,12,0,1,0,0,0,1,150-30-1@30394-07-1,3726,Not Available,slight,bitter,amine@primary amine@primary aliphatic amine (alkylamine)@carboxylic acid derivative@carboxylic acid@aromatic compound@alpha-aminoacid
996,phenol,phenol,C1=CC=C(C=C1)O,94.113,1,1,0,46.1,20.2,94.042,94.042,1.5,0,7,0,0,0,0,0,1,108-95-2@27073-41-2@61788-41-8@63496-48-0@65996-83-0@68071-29-4@73607-76-8@84650-60-2,3223,Not Available,"distinct aromatic, somewhat sickening sweet and acrid odor, discernable at 0.5 to 5 ppm@somewhat sickeningly sweet and acrid@sweet, tarry odor","sharp, burning taste@when in very weak solution it has a sweetish taste.",hydroxy compound@phenol or hydroxyhetarene@aromatic compound
997,2-oxo-3-phenylpropanoic acid,phenylpyruvic acid,C1=CC=C(C=C1)CC(=O)C(=O)O,164.16,1,3,3,180,54.4,164.047,164.047,1.3,0,12,0,0,0,0,0,1,0156-06-09,3892,Not Available,not available,not available,carbonyl compound@ketone@carboxylic acid derivative@carboxylic acid@aromatic compound
998,2-phenylacetaldehyde,phenylacetaldehyde,C1=CC=C(C=C1)CC=O,120.151,0,1,2,82.6,17.1,120.058,120.058,1.8,0,9,0,0,0,0,0,1,122-78-1@56767-17-0,2874,"Berry, Geranium, Honey, Nut, Pungent",not available,not available,carbonyl compound@aldehyde@aromatic compound
999,2-phenylacetic acid,phenylacetic acid,C1=CC=C(C=C1)CC(=O)O,136.15,1,2,2,114,37.3,136.052,136.052,1.4,0,10,0,0,0,0,0,1,103-82-2,2878,"Caramel, Floral, Flower, Honey",floral odor@has a sweet honey-like odor when diluted@the odor of the concentrated solution is suffocating and unpleasant.,not available,carboxylic acid derivative@carboxylic acid@aromatic compound
1001,2-phenylethanamine,phenethylamine,C1=CC=C(C=C1)CCN,121.183,1,1,2,65,26,121.089,121.089,1.4,0,9,0,0,0,0,0,1,64-04-0,3220,Not Available,fishy odor,not available,amine@primary amine@primary aliphatic amine (alkylamine)@aromatic compound
1004,phosphoric acid,phosphoric acid,OP(=O)(O)O,97.994,3,4,0,49.8,77.8,97.977,97.977,-2.1,0,5,0,0,0,0,0,1,68891-72-5@7664-38-2@8017-16-1@9044-08-0,2900,Not Available,odorless,acid taste,phosphoric acid derivative@phosphoric acid
1030,"propane-1,2-diol","1,2-propanediol",CC(CO)O,76.095,2,2,1,20.9,40.5,76.052,76.052,-0.9,0,5,0,1,0,0,0,1,123120-98-9@57-55-6@63625-56-9@90529-63-8,2940,Not Available,practically odorless,practically tasteless,"hydroxy compound@alcohol@primary alcohol@secondary alcohol@1,2-diol"
1031,propan-1-ol,1-propanol,CCCO,60.096,1,1,1,7.2,20.2,60.058,60.058,0.3,0,4,0,0,0,0,0,1,142583-61-7@62309-51-7@71-23-8,2928,"Alcohol, Candy, Pungent",0.07-100 mg/cu-m@odor perception threshold: <@similar to ethanol@odor recognition threshold: 0.32-150 mg/cu m,"burning taste@characteristic ripe, fruity flavor@taste detection: 7.50x10+3 ppm, purity of sample not specified",hydroxy compound@alcohol@primary alcohol
1032,propanoic acid,propionic acid,CCC(=O)O,74.079,1,2,1,40.2,37.3,74.037,74.037,0.3,0,5,0,0,0,0,0,1,68937-68-8@68990-37-4@79-09-4,2924,"Fat, Fruit, Pungent, Silage, Soy","slightly pungent disagreeable, rancid odor",sour & mildly cheese-like,carboxylic acid derivative@carboxylic acid
1049,pyridine,pyridine,C1=CC=NC=C1,79.102,0,1,0,30.9,12.9,79.042,79.042,0.7,0,6,0,0,0,0,0,1,110-86-1@7291-22-7,2966,Not Available,"burnt, sickening@nauseating fish-like odor.@sharp, nauseating",amine taste,aromatic compound@heterocyclic compound
1060,2-oxopropanoic acid,pyruvic acid,CC(=O)C(=O)O,88.062,1,3,1,84,54.4,88.016,88.016,-0.3,0,6,0,0,0,0,0,1,127-17-3,2970,Not Available,not available,not available,carbonyl compound@ketone@carboxylic acid derivative@carboxylic acid
1068,methylsulfanylmethane,dimethyl sulfide,CSC,62.13,0,1,0,2.8,25.3,62.019,62.019,0.9,0,3,0,0,0,0,0,1,31533-72-9@75-18-3,2746,"Cabbage, Organic, Sulfur, Wet Earth","unpleasant odor of wild radish, cabbage-like",characteristic flavor,thioether
1103,"N,N'-bis(3-aminopropyl)butane-1,4-diamine",spermine,C(CCNCCCN)CNCCCN,202.346,4,4,11,86.1,76.1,202.216,202.216,-1.1,0,14,0,0,0,0,0,1,68956-56-9@71-44-3,Not Available,Not Available,not available,not available,amine@primary amine@primary aliphatic amine (alkylamine)@secondary amine@secondary aliphatic amine (dialkylamine)
