Recipe Id,Aliased Ingredient_ID
R0000055,1125
R0000055,1204
R0000055,1132
R0000055,943
R0000055,663
R0000055,1356
R0000055,298
R0000056,64
R0000056,1356
R0000056,1530
R0000056,439
R0000056,133
R0000056,1026
R0000056,1257
R0000056,1428
R0000056,1179
R0000056,848
R0000057,298
R0000057,1583
R0000057,1540
R0000057,105
R0000058,724
R0000058,396
R0000058,203
R0000058,848
R0000059,15
R0000059,1140
R0000059,1590
R0000059,1012
R0000059,64
R0000060,1447
R0000060,1594
R0000060,298
R0000060,466
R0000060,1428
R0000060,1338
R0000061,1592
R0000061,136
R0000061,466
R0000061,1140
R0000061,248
R0000061,1428
R0000061,105
R0000061,NaN
R0000061,1447
R0000062,1586
R0000062,1447
R0000062,1088
R0000062,724
R0000062,251
R0000062,1593
R0000063,1179
R0000063,298
R0000063,1255
R0000063,1435
R0000064,466
R0000064,1338
R0000064,298
R0000064,1305
R0000064,260
R0000064,1586
R0000064,1580
R0000065,298
R0000065,64
R0000065,848
R0000065,1120
R0000065,1257
R0000065,1179
R0000065,1530
R0000065,18
R0000065,1428
R0000065,848
R0000065,1132
R0000066,525
R0000066,724
R0000067,1586
R0000067,385
R0000067,1240
R0000067,7
R0000067,1237
R0000068,1204
R0000068,1428
R0000068,105
R0000068,466
R0000068,1132
R0000068,298
R0000068,7
R0000069,1447
R0000069,466
R0000069,1580
R0000069,1356
R0000069,1132
R0000069,848
R0000069,1586
R0000069,298
R0000069,848
R0000069,1140
R0000069,1428
R0000070,1179
R0000070,1179
R0000070,1435
R0000070,848
R0000070,1008
R0000071,1240
R0000071,136
R0000071,1447
R0000071,466
R0000071,251
R0000071,496
R0000071,1338
R0000071,466
R0000071,1338
R0000071,1126
R0000071,385
R0000072,848
R0000072,203
R0000072,298
R0000072,1026
R0000072,396
R0000072,105
R0000073,1338
R0000073,848
R0000073,724
R0000073,NaN
R0000073,399
R0000073,1255
R0000073,7
R0000073,105
R0000074,1428
R0000074,1132
R0000074,NaN
R0000074,NaN
R0000074,NaN
R0000074,166
R0000074,NaN
R0000074,724
R0000074,717
R0000075,196
R0000075,1179
R0000075,114
R0000075,1125
R0000075,848
R0000075,1132
R0000076,196
R0000076,18
R0000076,1257
R0000076,166
R0000076,NaN
R0000076,1012
R0000076,466
R0000077,210
R0000077,1447
R0000077,1422
R0000077,166
R0000077,466
R0000078,298
R0000078,41
R0000078,391
R0000078,1179
R0000078,717
R0000078,1257
R0000079,298
R0000079,1257
R0000079,1132
R0000079,1025
R0000079,1179
R0000080,298
R0000080,525
R0000080,203
R0000080,439
R0000080,545
R0000081,298
R0000081,NaN
R0000081,NaN
R0000082,298
R0000082,1305
R0000082,136
R0000082,1428
R0000082,1338
R0000082,1348
R0000082,1088
R0000082,166
R0000083,298
R0000083,136
R0000083,1447
R0000083,260
R0000083,1592
R0000083,848
R0000083,1428
R0000084,41
R0000084,1132
R0000084,205
R0000084,133
R0000084,439
R0000085,1237
R0000085,1580
R0000085,136
R0000085,466
R0000085,1586
R0000086,385
R0000086,663
R0000087,466
R0000087,248
R0000087,663
R0000087,1240
R0000087,525
R0000087,94
R0000087,1348
R0000087,1267
R0000087,1447
R0000088,1586
R0000088,1447
R0000088,298
R0000088,7
R0000088,396
R0000088,385
R0000088,1237
R0000089,1216
R0000089,1447
R0000089,1338
R0000089,298
R0000089,1428
R0000089,1428
R0000089,1592
R0000089,1338
R0000090,1179
R0000090,1179
R0000090,407
R0000090,396
R0000090,298
R0000090,1447
R0000090,1592
R0000090,1255
R0000090,466
R0000090,248
R0000090,1428
R0000090,1338
R0000090,136
R0000090,1126
R0000090,1435
R0000090,707
R0000090,1255
R0000091,1592
R0000091,NaN
R0000091,1338
R0000091,7
R0000091,1447
R0000091,1338
R0000092,136
R0000092,1012
R0000092,724
R0000092,385
R0000092,1216
R0000092,298
R0000092,1592
R0000092,1216
R0000093,759
R0000093,466
R0000093,136
R0000093,1592
R0000093,1140
R0000093,1540
R0000093,1543
R0000093,1240
R0000093,NaN
R0000093,251
R0000093,298
R0000094,1240
R0000094,1257
R0000094,1447
R0000094,1179
R0000094,848
R0000094,298
R0000094,466
R0000094,1012
R0000095,466
R0000095,1447
R0000095,136
R0000095,385
R0000095,1338
R0000095,1592
R0000095,1356
R0000095,724
R0000095,105
R0000095,525
R0000096,248
R0000096,1447
R0000096,1593
R0000096,1216
R0000096,1126
R0000096,7
R0000096,1591
R0000096,1370
R0000096,1140
R0000096,1216
R0000096,298
R0000096,1179
R0000096,1140
R0000096,396
R0000096,251
R0000097,298
R0000097,1197
R0000097,724
R0000097,848
R0000097,203
R0000097,1179
R0000097,1179
R0000097,298
R0000097,724
R0000098,466
R0000098,136
R0000098,1580
R0000098,724
R0000098,1356
R0000099,396
R0000099,724
R0000099,205
R0000099,439
R0000099,203
R0000099,848
R0000099,1356
R0000099,205
R00000100,298
R00000100,1179
R00000100,205
