Structure,Name,source file,MW,AlogP,RB,PSA,Estate,MR,Polar,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,#NandO,RuleOfFive,RuleOfThree,#ringatoms,#in34,#in56,#noncon,#nonHatm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Num aromatic rings,,Num chiral centers,Num heavy atoms,,,,,,Num rings,,,,,Total charge
,Bitter 10,bitterpredict.maegz,324.4168,2.7338,4,46.592,49.5,94.6926,41.873,0,1,0,0,0,5,0,1,580.233,305.92,62.755,211.558,0,1063.03,1,5.45,0.0108603,0.0093928,0.868147,35.198,10.316,15.757,8.711,3.437,-3.291,-3.218,-5.401,627.618,0.106,330.798,-3.513,8.776,0.876,4,0.256,3,100,0,0,4,0,0,18,0,18,7,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,24,,,,,,4,,,,,0
,Bitter 11,bitterpredict.maegz,324.4168,2.7338,4,46.554,49.5,94.6926,41.873,0,1,0,0,0,5,0,1,568.294,295.456,61.985,210.853,0,1052.846,1,5.45,0.0118662,0.0095901,0.8807153,34.784,10.255,15.658,8.672,3.428,-3.252,-3.218,-5.194,638.262,0.128,336.866,-3.502,8.766,0.867,4,0.235,3,100,0,0,4,0,0,18,0,18,7,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,24,,,,,,4,,,,,0
,Bitter 12,bitterpredict.maegz,324.4168,2.7338,4,46.554,49.5,94.6926,41.873,0,1,0,0,0,5,0,1,568.294,295.456,61.985,210.853,0,1052.846,1,5.45,0.0118662,0.0095901,0.8807153,34.784,10.255,15.658,8.672,3.428,-3.252,-3.218,-5.194,638.262,0.128,336.866,-3.502,8.766,0.867,4,0.235,3,100,0,0,4,0,0,18,0,18,7,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,24,,,,,,4,,,,,0
,Bitter 13,bitterpredict.maegz,496.635,3.11,0,108.836,79.748,133.9793,52.742,1,0,0,0,0,2,2,-1,721.061,552.945,148.403,19.713,0,1466.827,2,7.5,0.0669346,0.0147097,0.8658563,51.452,13.326,25.164,12.474,4.261,-6.296,-6.286,-3.797,387.785,-0.877,177.691,-3.993,9.359,-0.579,10,1.053,1,100,0,0,6,0,2,26,0,20,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,14,36,,,,,,7,,,,,0
,Bitter 14,bitterpredict.maegz,248.3175,1.9518,0,48.181,37.666,66.9857,26.371,0,0,0,0,0,0,2,1,463.484,367.812,55.766,39.906,0,828.026,0,5,0.0481594,0,0.9200807,27.365,6.906,11.755,6.41,1.923,-2.382,-1.984,-3.015,2931.357,0.124,1581.962,-2.407,9.651,-0.815,4,-0.316,3,100,0,0,3,0,0,14,3,9,9,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,6,18,,,,,,4,,,,,0
,Bitter 15,bitterpredict.maegz,246.3016,1.9664,0,50.632,39,66.7891,26.179,0,0,0,0,0,1,1,1,443.412,313.236,58.624,71.552,0,796.827,0,5,0.0349498,0,0.9374182,25.776,6.988,11.082,6.376,1.737,-1.839,-2.006,-2.886,2754.033,0.058,1478.783,-2.252,9.667,0.311,4,-0.449,3,100,0,0,3,0,0,14,3,9,8,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,5,18,,,,,,4,,,,,0
,Bitter 16,bitterpredict.maegz,341.2717,2.8973,3,109.012,70.67,85.2716,39.325,0,0,0,1,0,3,1,-1,531.116,165.838,156.052,209.226,0,932.445,1,5.25,0.0807609,0.0098849,0.8690766,31.234,9.728,15.708,9.456,2.653,-3.659,-5.011,-2.841,83.112,-0.995,42.763,-3.37,8.925,1.593,2,-0.124,3,76.838,0,0,8,0,0,17,0,17,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,0,25,,,,,,4,,,,,0
,Bitter 17,bitterpredict.maegz,248.3175,2.9741,0,60.056,43.167,70.3888,27.535,0,0,0,0,0,2,0,0,466.397,309.181,96.631,60.584,0,837.146,1,4.7,0.0625454,0.0100773,0.9210359,26.643,7.66,13.167,7.564,2.017,-2.875,-2.271,-3.099,1201.003,-0.316,603.015,-2.895,9.891,0.222,6,-0.042,3,93.874,0,0,3,0,0,13,0,5,7,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,3,18,,,,,,2,,,,,0
,Bitter 17,bitterpredict.maegz,248.3175,2.9741,0,56.161,43.167,70.3888,27.535,1,0,0,0,0,2,0,0,441.369,300.759,86.173,54.437,0,814.36,1,4.7,0.0755149,0.0106487,0.9555226,25.672,7.6,13.018,7.391,1.959,-2.457,-2.271,-2.511,1509.11,-0.186,771.838,-2.724,9.686,0.163,6,-0.083,3,95.309,0,0,3,0,0,13,0,5,7,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,3,18,,,,,,2,,,,,0
,Bitter 18,bitterpredict.maegz,194.1906,0.6643,0,73.273,37.668,48.9932,21.791,1,0,0,0,0,0,0,0,401.296,239.459,103.576,58.261,0,648.196,0,5,0.041982,0,0.9026179,20.343,5.442,9.4,6.711,-0.07,-0.926,-1.417,-3.386,1032.019,-0.284,511.853,-3.223,8.983,0.505,0,-0.838,3,80.477,0,0,6,0,0,9,0,9,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0,14,,,,,,2,,,,,0
,Bitter 19,bitterpredict.maegz,408.4853,0.791,6,118.578,74.749,102.6559,43.608,0,0,0,0,0,8,1,-2,614.335,336.837,145.364,132.133,0,1199.732,3,8.65,0.0203132,0.0243877,0.8888246,37.984,12.074,21.804,14.234,2.24,-3.26,-4.269,-3.961,414.393,-1.145,190.906,-2.965,9.436,-0.33,4,-0.049,3,86.91,0,0,7,0,0,15,0,15,10,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,8,29,,,,,,3,,,,,0
,Bitter 20,bitterpredict.maegz,146.1427,2.0115,0,40.71,27.501,39.7202,20.229,2,0,0,0,0,0,1,1,333.339,0,72.598,260.741,0,515.504,0,2.5,0.0778838,0,0.9327533,16.967,5.53,7.586,5.251,1.39,-1.861,-1.616,-3.864,2029.811,0.007,1063.342,-1.939,9.566,1.007,0,-0.554,3,94.281,0,0,2,0,0,10,0,10,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0,11,,,,,,2,,,,,0
,Bitter 21,bitterpredict.maegz,558.7028,1.7863,6,153.754,102,151.0407,58.906,0,0,0,0,0,8,2,-2,818.316,589.132,211.563,17.621,0,1662.673,3,12.15,0.0276517,0.0257167,0.8294344,55.418,15.723,30.027,17.844,3.023,-5.426,-5.785,-4.376,97.645,-1.969,40.021,-4.588,9.867,0.611,6,0.416,2,67.297,0,0,8,1,0,17,0,17,13,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,9,40,,,,,,4,,,,,0
,Bitter 21,bitterpredict.maegz,558.7028,1.7863,6,147.623,102,151.0407,58.906,0,0,0,0,0,8,2,-2,796.184,576.302,199.78,20.101,0,1647.036,3,12.15,0.0496708,0.0264316,0.8471373,54.816,15.451,30.139,17.728,3.037,-5.078,-5.785,-4.101,126.294,-1.775,52.851,-4.363,9.816,0.603,6,0.402,2,69.38,0,0,8,1,0,17,0,17,13,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,9,40,,,,,,4,,,,,0
,Bitter 22,bitterpredict.maegz,260.3713,4.7139,9,44.938,44.666,77.6177,30.651,1,0,0,0,0,12,0,-2,687.89,453.501,106.781,127.607,0,1113.5,2,3.4,0.0001746,0.00699,0.7552773,31.922,10.731,14.233,6.6,4.024,-5.414,-3.066,-6.1,962.258,-1.408,474.559,-1.886,9.929,-0.124,3,0.365,3,100,0,0,2,0,0,0,0,0,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2,19,,,,,,0,,,,,0
,Bitter 22,bitterpredict.maegz,260.3713,4.7139,9,44.961,44.666,77.6177,30.651,0,0,0,0,0,12,0,-2,684.288,449.751,104.592,129.945,0,1110.431,2,3.4,0.0174196,0.0070268,0.7578569,31.821,10.692,14.438,6.592,4.024,-5.35,-3.066,-6.07,1009.384,-1.374,499.729,-1.837,9.829,-0.259,3,0.358,3,100,0,0,2,0,0,0,0,0,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2,19,,,,,,0,,,,,0
,Bitter 23,bitterpredict.maegz,413.4205,3.0121,4,83.86,67.836,106.5779,47.909,0,1,0,0,0,3,1,1,599.721,453.974,53.918,91.83,0,1154.27,0,8.75,0.064622,0,0.8873343,38.991,10.063,18.078,10.111,1.772,-1.293,-3.741,-4.519,761.199,0.325,407.515,-3.964,9.204,0.59,7,-0.499,3,88.893,0,0,8,0,1,22,0,22,5,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,30,,,,,,5,,,,,0
,Bitter 24,bitterpredict.maegz,339.385,3.5039,6,41.812,53.836,95.7229,45.45,0,0,0,0,0,6,0,1,631.361,397.263,7.102,226.995,0,1103.156,0,4,0.0084889,0,0.8177966,36.309,10.094,13.424,5.447,4.761,-5.11,-5.384,-5.563,8482.984,0.131,4988.859,-0.275,8.522,0.921,6,0.496,3,100,0,0,5,0,0,16,0,16,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,0,25,,,,,,3,,,,,0
,Bitter 25,bitterpredict.maegz,248.3175,2.923,0,49.468,39.25,68.5517,26.953,0,0,0,0,0,1,1,1,459.241,364.012,57.758,37.471,0,824.062,0,5,0.0240319,0,0.9256168,26.541,6.906,11.121,6.176,1.88,-2.139,-1.809,-2.914,2806.601,0.054,1509.316,-2.356,9.687,0.233,4,-0.37,3,100,0,0,3,0,0,14,3,5,8,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,4,18,,,,,,3,,,,,0
,Bitter 25,bitterpredict.maegz,248.3175,2.923,0,51.608,39.25,68.5517,26.953,0,0,0,0,0,1,1,1,442.724,344.882,57.575,40.266,0,805.912,0,5,0.0659873,0,0.945999,25.841,6.914,11.498,6.154,1.767,-1.826,-1.809,-2.598,2817.818,0.074,1515.837,-2.343,9.881,0.17,4,-0.422,3,100,0,0,3,0,0,14,3,5,8,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,4,18,,,,,,3,,,,,0
,Bitter 26,bitterpredict.maegz,388.4541,1.3114,2,93.366,67.667,104.203,39.833,0,0,0,0,0,2,1,-1,585.021,462.092,98.874,24.054,0,1138.84,0,8.5,0.0325059,0,0.9015067,38.368,9.813,17.471,9.894,1.929,-2.527,-3.816,-3.24,1143.605,-0.368,571.926,-3.065,9.981,0.558,7,-0.435,3,92.979,0,0,6,0,1,17,0,17,9,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,7,28,,,,,,4,,,,,0
,Bitter 27,bitterpredict.maegz,277.2626,0.8869,3,112.47,50.668,70.8942,30.051,0,0,0,0,0,3,0,-2,474.457,72.675,203.221,175.56,23,789.506,1,6,0.1736802,0.012646,0.8707065,25.192,8.579,15.538,10.158,0.672,-2.541,-3.342,-4.461,117.152,-1.348,65.129,-4.358,9.454,1.421,1,-0.459,3,67.905,0,0,9,0,0,14,0,14,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,0,19,,,,,,3,,,,,0
,Bitter 28,bitterpredict.maegz,121.1366,0.8008,1,53.05,24.334,34.7607,16.97,2,0,0,0,0,1,0,-1,312.219,0,111.304,200.916,0,469.125,2,2.5,0.0603881,0.0113239,0.9351849,13.897,5.348,9.246,7.765,0.613,-0.961,-1.15,-3.539,871.775,-0.345,426.515,-2.767,9.872,0.225,1,-0.61,3,83.16,0,0,2,0,0,6,0,6,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,9,,,,,,1,,,,,0
,Bitter 29,bitterpredict.maegz,260.33,2.3627,9,110.795,47.417,67.2217,26.942,2,0,0,0,0,7,0,-2,592.272,415.193,177.079,0,0,989.71,3,5,0.0000082,0.0146221,0.8109283,28.959,9.242,16.028,10.124,1.84,-3.94,-2.48,-4.591,207.327,-1.654,90.31,-4.111,9.635,-0.915,1,-0.064,3,79.185,0,0,6,0,0,0,0,0,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,18,,,,,,0,,,,,0
