Recipe ID 1,Recipe ID 2,No_of_shared_ingredients
R000002,R0000024,0
R000002,R0000025,4
R000002,R0000026,0
R000002,R0000027,1
R000002,R0000028,1
R000002,R0000029,2
R000002,R0000030,3
R000002,R0000031,0
R000002,R0000032,3
R000002,R0000033,0
R000002,R0000034,0
R000002,R0000035,0
R000002,R0000036,2
R000002,R0000037,2
R000002,R0000038,1
R000002,R0000039,0
R000002,R0000040,0
R000002,R0000041,1
R000002,R0000042,0
R000002,R0000043,4
R000002,R0000044,1
R000002,R0000045,0
R000002,R0000046,0
R000002,R0000047,0
R000002,R0000048,0
R000002,R0000049,0
R000002,R0000050,0
R000002,R0000051,3
R000002,R0000052,1
R000002,R0000053,0
R000002,R0000054,0
R000002,R0000055,1
R000002,R0000056,0
R000002,R0000057,0
R000002,R0000058,0
R000002,R0000059,0
R000002,R0000060,2
R000002,R0000061,2
R000002,R0000062,2
R000002,R0000063,0
R000002,R0000064,2
R000002,R0000065,0
R000002,R0000066,0
R000002,R0000067,2
R000002,R0000068,1
R000002,R0000069,2
R000002,R0000070,0
R000002,R0000071,3
R000002,R0000072,0
R000002,R0000073,2
R000002,R0000074,0
R000002,R0000075,0
R000002,R0000076,0
R000002,R0000077,1
R000002,R0000078,0
R000002,R0000079,0
R000002,R0000080,0
R000002,R0000081,0
R000002,R0000082,2
R000002,R0000083,2
R000002,R0000084,0
R000002,R0000085,2
R000002,R0000086,1
R000002,R0000087,2
R000002,R0000088,3
R000002,R0000089,2
R000002,R0000090,3
R000002,R0000091,3
R000002,R0000092,1
R000002,R0000093,2
R000002,R0000094,1
R000002,R0000095,3
R000002,R0000096,2
R000002,R0000097,0
R000002,R0000098,1
R000002,R0000099,0
R000002,R00000100,0
R000003,R000004,4
R000003,R000005,3
R000003,R000006,3
R000003,R000007,2
R000003,R000008,2
R000003,R000009,2
R000003,R0000010,2
R000003,R0000011,1
R000003,R0000012,0
R000003,R0000013,2
R000003,R0000014,3
R000003,R0000015,0
R000003,R0000016,4
R000003,R0000017,3
R000003,R0000018,0
R000003,R0000020,2
R000003,R0000021,2
R000003,R0000022,2
R000003,R0000023,0
R000003,R0000024,2
R000003,R0000025,4
R000003,R0000026,1
R000003,R0000027,2
R000003,R0000028,3
R000003,R0000029,4
R000003,R0000030,6
R000003,R0000031,1
R000003,R0000032,4
R000003,R0000033,1
R000003,R0000034,0
R000003,R0000035,1
R000003,R0000036,3
R000003,R0000037,1
R000003,R0000038,0
R000003,R0000039,0
R000003,R0000040,0
R000003,R0000041,1
R000003,R0000042,2
R000003,R0000043,3
R000003,R0000044,1
R000003,R0000045,2
R000003,R0000046,2
R000003,R0000047,1
R000003,R0000048,1
R000003,R0000049,2
R000003,R0000050,0
R000003,R0000051,3
R000003,R0000052,3
R000003,R0000053,2
R000003,R0000054,2
R000003,R0000055,1
R000003,R0000056,0
R000003,R0000057,1
R000003,R0000058,1
R000003,R0000059,0
R000003,R0000060,2
R000003,R0000061,2
R000003,R0000062,1
R000003,R0000063,1
R000003,R0000064,1
R000003,R0000065,1
R000003,R0000066,0
R000003,R0000067,2
R000003,R0000068,2
R000003,R0000069,2
R000003,R0000070,0
R000003,R0000071,2
R000003,R0000072,2
R000003,R0000073,1
R000003,R0000074,0
R000003,R0000075,0
R000003,R0000076,0
R000003,R0000077,1
R000003,R0000078,1
R000003,R0000079,1
R000003,R0000080,1
R000003,R0000081,1
R000003,R0000082,1
R000003,R0000083,2
R000003,R0000084,0
R000003,R0000085,0
R000003,R0000086,1
R000003,R0000087,2
R000003,R0000088,5
R000003,R0000089,2
R000003,R0000090,4
R000003,R0000091,2
R000003,R0000092,2
R000003,R0000093,1
R000003,R0000094,2
R000003,R0000095,2
R000003,R0000096,5
R000003,R0000097,1
R000003,R0000098,0
R000003,R0000099,1
R000003,R00000100,1
R000004,R000005,2
R000004,R000006,2
R000004,R000007,0
R000004,R000008,1
R000004,R000009,1
R000004,R0000010,1
R000004,R0000011,1
R000004,R0000012,1
R000004,R0000013,1
R000004,R0000014,3
R000004,R0000015,1
R000004,R0000016,4
R000004,R0000017,3
R000004,R0000018,0
R000004,R0000020,4
R000004,R0000021,1
R000004,R0000022,3
R000004,R0000023,0
R000004,R0000024,1
R000004,R0000025,6
R000004,R0000026,0
R000004,R0000027,2
R000004,R0000028,3
R000004,R0000029,4
R000004,R0000030,5
R000004,R0000031,1
R000004,R0000032,3
R000004,R0000033,1
R000004,R0000034,0
R000004,R0000035,1
R000004,R0000036,2
R000004,R0000037,1
R000004,R0000038,1
R000004,R0000039,0
R000004,R0000040,0
R000004,R0000041,1
R000004,R0000042,1
R000004,R0000043,2
R000004,R0000044,2
R000004,R0000045,1
R000004,R0000046,1
R000004,R0000047,0
R000004,R0000048,1
R000004,R0000049,1
R000004,R0000050,0
R000004,R0000051,4
R000004,R0000052,2
R000004,R0000053,1
R000004,R0000054,1
R000004,R0000055,2
R000004,R0000056,0
R000004,R0000057,1
R000004,R0000058,0
R000004,R0000059,0
R000004,R0000060,2
R000004,R0000061,1
R000004,R0000062,2
R000004,R0000063,1
R000004,R0000064,2
R000004,R0000065,1
R000004,R0000066,0
R000004,R0000067,4
R000004,R0000068,2
R000004,R0000069,3
R000004,R0000070,0
R000004,R0000071,2
R000004,R0000072,1
R000004,R0000073,1
R000004,R0000074,0
R000004,R0000075,0
R000004,R0000076,0
R000004,R0000077,1
R000004,R0000078,1
R000004,R0000079,1
R000004,R0000080,1
R000004,R0000081,1
R000004,R0000082,1
R000004,R0000083,2
R000004,R0000084,0
R000004,R0000085,2
R000004,R0000086,2
R000004,R0000087,2
R000004,R0000088,6
R000004,R0000089,2
R000004,R0000090,2
R000004,R0000091,2
R000004,R0000092,2
R000004,R0000093,1
R000004,R0000094,2
R000004,R0000095,2
R000004,R0000096,3
R000004,R0000097,1
R000004,R0000098,0
R000004,R0000099,0
R000004,R00000100,1
R000005,R000006,3
R000005,R000007,3
R000005,R000008,1
R000005,R000009,3
R000005,R0000010,2
R000005,R0000011,3
R000005,R0000012,0
R000005,R0000013,3
R000005,R0000014,2
R000005,R0000015,0
R000005,R0000016,3
R000005,R0000017,3
R000005,R0000018,0
R000005,R0000020,4
R000005,R0000021,2
R000005,R0000022,1
R000005,R0000023,0
R000005,R0000024,2
R000005,R0000025,2
R000005,R0000026,2
R000005,R0000027,1
R000005,R0000028,1
R000005,R0000029,2
R000005,R0000030,5
R000005,R0000031,1
R000005,R0000032,3
R000005,R0000033,2
R000005,R0000034,0
R000005,R0000035,2
R000005,R0000036,2
R000005,R0000037,0
R000005,R0000038,1
R000005,R0000039,0
R000005,R0000040,0
R000005,R0000041,2
R000005,R0000042,1
R000005,R0000043,2
R000005,R0000044,0
R000005,R0000045,3
R000005,R0000046,2
R000005,R0000047,2
R000005,R0000048,2
R000005,R0000049,2
R000005,R0000050,3
R000005,R0000051,2
R000005,R0000052,1
R000005,R0000053,3
R000005,R0000054,3
R000005,R0000055,0
R000005,R0000056,2
R000005,R0000057,0
R000005,R0000058,2
R000005,R0000059,0
R000005,R0000060,0
R000005,R0000061,0
R000005,R0000062,0
R000005,R0000063,1
R000005,R0000064,0
R000005,R0000065,2
R000005,R0000066,0
R000005,R0000067,2
R000005,R0000068,1
R000005,R0000069,1
R000005,R0000070,2
R000005,R0000071,1
R000005,R0000072,2
R000005,R0000073,2
R000005,R0000074,0
R000005,R0000075,2
R000005,R0000076,0
R000005,R0000077,0
R000005,R0000078,1
R000005,R0000079,1
R000005,R0000080,0
R000005,R0000081,0
R000005,R0000082,0
R000005,R0000083,1
R000005,R0000084,0
R000005,R0000085,0
R000005,R0000086,1
R000005,R0000087,0
R000005,R0000088,3
R000005,R0000089,0
R000005,R0000090,2
R000005,R0000091,1
R000005,R0000092,1
R000005,R0000093,0
R000005,R0000094,2
R000005,R0000095,1
R000005,R0000096,3
R000005,R0000097,2
R000005,R0000098,0
R000005,R0000099,2
R000005,R00000100,1
R000006,R000007,2
R000006,R000008,2
R000006,R000009,3
R000006,R0000010,2
R000006,R0000011,2
R000006,R0000012,0
R000006,R0000013,3
R000006,R0000014,3
R000006,R0000015,0
R000006,R0000016,2
R000006,R0000017,1
R000006,R0000018,0
R000006,R0000020,2
R000006,R0000021,3
R000006,R0000022,2
R000006,R0000023,0
R000006,R0000024,3
R000006,R0000025,2
R000006,R0000026,2
R000006,R0000027,2
R000006,R0000028,1
R000006,R0000029,1
R000006,R0000030,4
R000006,R0000031,1
R000006,R0000032,5
R000006,R0000033,2
R000006,R0000034,0
R000006,R0000035,2
R000006,R0000036,3
R000006,R0000037,0
R000006,R0000038,0
R000006,R0000039,0
R000006,R0000040,0
R000006,R0000041,2
R000006,R0000042,2
R000006,R0000043,2
R000006,R0000044,1
R000006,R0000045,3
R000006,R0000046,3
R000006,R0000047,1
R000006,R0000048,2
R000006,R0000049,2
R000006,R0000050,1
R000006,R0000051,3
R000006,R0000052,3
R000006,R0000053,3
R000006,R0000054,3
R000006,R0000055,1
R000006,R0000056,1
R000006,R0000057,1
R000006,R0000058,1
R000006,R0000059,2
R000006,R0000060,1
R000006,R0000061,1
R000006,R0000062,0
R000006,R0000063,2
R000006,R0000064,1
R000006,R0000065,2
R000006,R0000066,1
R000006,R0000067,1
R000006,R0000068,2
R000006,R0000069,2
R000006,R0000070,1
R000006,R0000071,0
R000006,R0000072,2
R000006,R0000073,1
R000006,R0000074,0
R000006,R0000075,1
R000006,R0000076,0
R000006,R0000077,0
R000006,R0000078,2
R000006,R0000079,2
R000006,R0000080,2
R000006,R0000081,1
R000006,R0000082,1
R000006,R0000083,1
R000006,R0000084,0
R000006,R0000085,0
R000006,R0000086,0
R000006,R0000087,1
R000006,R0000088,3
R000006,R0000089,1
R000006,R0000090,3
R000006,R0000091,1
R000006,R0000092,1
R000006,R0000093,2
R000006,R0000094,2
R000006,R0000095,1
R000006,R0000096,5
R000006,R0000097,2
R000006,R0000098,0
R000006,R0000099,1
R000006,R00000100,2
R000007,R000008,1
R000007,R000009,3
R000007,R0000010,2
R000007,R0000011,3
R000007,R0000012,0
R000007,R0000013,3
R000007,R0000014,1
R000007,R0000015,0
R000007,R0000016,2
R000007,R0000017,2
R000007,R0000018,0
R000007,R0000020,2
R000007,R0000021,2
R000007,R0000022,0
R000007,R0000023,0
R000007,R0000024,2
R000007,R0000025,0
R000007,R0000026,2
R000007,R0000027,0
R000007,R0000028,0
R000007,R0000029,1
R000007,R0000030,4
R000007,R0000031,1
R000007,R0000032,2
R000007,R0000033,2
R000007,R0000034,0
R000007,R0000035,2
R000007,R0000036,2
R000007,R0000037,0
R000007,R0000038,1
R000007,R0000039,0
R000007,R0000040,0
R000007,R0000041,2
R000007,R0000042,1
R000007,R0000043,2
R000007,R0000044,0
R000007,R0000045,3
R000007,R0000046,2
R000007,R0000047,1
R000007,R0000048,2
R000007,R0000049,2
R000007,R0000050,2
R000007,R0000051,1
R000007,R0000052,2
R000007,R0000053,3
R000007,R0000054,3
R000007,R0000055,0
R000007,R0000056,2
R000007,R0000057,0
R000007,R0000058,2
R000007,R0000059,0
R000007,R0000060,0
R000007,R0000061,1
R000007,R0000062,0
R000007,R0000063,1
R000007,R0000064,0
R000007,R0000065,2
R000007,R0000066,0
R000007,R0000067,0
R000007,R0000068,0
R000007,R0000069,1
R000007,R0000070,2
R000007,R0000071,0
R000007,R0000072,2
R000007,R0000073,1
R000007,R0000074,0
R000007,R0000075,2
R000007,R0000076,0
R000007,R0000077,0
R000007,R0000078,1
R000007,R0000079,1
R000007,R0000080,0
R000007,R0000081,0
R000007,R0000082,0
R000007,R0000083,1
R000007,R0000084,0
R000007,R0000085,0
R000007,R0000086,0
R000007,R0000087,1
R000007,R0000088,1
R000007,R0000089,0
R000007,R0000090,3
R000007,R0000091,0
R000007,R0000092,0
R000007,R0000093,0
R000007,R0000094,2
R000007,R0000095,0
R000007,R0000096,3
R000007,R0000097,2
R000007,R0000098,0
R000007,R0000099,2
R000007,R00000100,1
R000008,R000009,4
R000008,R0000010,2
R000008,R0000011,1
R000008,R0000012,1
R000008,R0000013,2
R000008,R0000014,1
R000008,R0000015,1
R000008,R0000016,1
R000008,R0000017,0
R000008,R0000018,1
R000008,R0000020,0
R000008,R0000021,3
R000008,R0000022,1
R000008,R0000023,1
R000008,R0000024,2
R000008,R0000025,1
R000008,R0000026,1
R000008,R0000027,2
R000008,R0000028,1
R000008,R0000029,0
R000008,R0000030,2
R000008,R0000031,1
R000008,R0000032,2
R000008,R0000033,2
R000008,R0000034,0
R000008,R0000035,2
R000008,R0000036,0
R000008,R0000037,0
R000008,R0000038,0
R000008,R0000039,1
R000008,R0000040,1
R000008,R0000041,1
R000008,R0000042,2
R000008,R0000043,1
R000008,R0000044,1
R000008,R0000045,3
R000008,R0000046,2
R000008,R0000047,1
R000008,R0000048,1
R000008,R0000049,2
R000008,R0000050,0
R000008,R0000051,2
R000008,R0000052,1
R000008,R0000053,2
R000008,R0000054,2
R000008,R0000055,1
R000008,R0000056,0
R000008,R0000057,1
R000008,R0000058,2
R000008,R0000059,0
R000008,R0000060,1
R000008,R0000061,0
R000008,R0000062,1
R000008,R0000063,1
R000008,R0000064,1
R000008,R0000065,1
R000008,R0000066,1
R000008,R0000067,0
R000008,R0000068,1
R000008,R0000069,1
R000008,R0000070,0
R000008,R0000071,0
R000008,R0000072,2
R000008,R0000073,1
R000008,R0000074,1
R000008,R0000075,0
R000008,R0000076,0
R000008,R0000077,0
R000008,R0000078,1
R000008,R0000079,1
R000008,R0000080,1
R000008,R0000081,1
R000008,R0000082,1
R000008,R0000083,1
R000008,R0000084,0
R000008,R0000085,0
R000008,R0000086,0
R000008,R0000087,0
R000008,R0000088,2
R000008,R0000089,1
R000008,R0000090,2
R000008,R0000091,0
R000008,R0000092,2
R000008,R0000093,1
R000008,R0000094,1
R000008,R0000095,1
R000008,R0000096,2
R000008,R0000097,2
R000008,R0000098,1
R000008,R0000099,2
R000008,R00000100,1
R000009,R0000010,3
R000009,R0000011,3
R000009,R0000012,1
R000009,R0000013,5
R000009,R0000014,2
R000009,R0000015,1
R000009,R0000016,2
R000009,R0000017,1
R000009,R0000018,0
R000009,R0000020,2
R000009,R0000021,4
R000009,R0000022,1
R000009,R0000023,2
R000009,R0000024,3
R000009,R0000025,1
R000009,R0000026,2
R000009,R0000027,1
R000009,R0000028,1
R000009,R0000029,0
R000009,R0000030,4
R000009,R0000031,2
R000009,R0000032,3
R000009,R0000033,3
R000009,R0000034,1
R000009,R0000035,5
R000009,R0000036,1
R000009,R0000037,1
R000009,R0000038,1
R000009,R0000039,2
R000009,R0000040,1
R000009,R0000041,4
R000009,R0000042,3
R000009,R0000043,2
R000009,R0000044,2
R000009,R0000045,5
R000009,R0000046,4
R000009,R0000047,1
R000009,R0000048,4
R000009,R0000049,3
R000009,R0000050,2
R000009,R0000051,2
R000009,R0000052,2
R000009,R0000053,4
R000009,R0000054,6
R000009,R0000055,2
R000009,R0000056,2
R000009,R0000057,1
R000009,R0000058,3
R000009,R0000059,0
R000009,R0000060,1
R000009,R0000061,0
R000009,R0000062,0
R000009,R0000063,2
R000009,R0000064,1
R000009,R0000065,6
R000009,R0000066,0
R000009,R0000067,0
R000009,R0000068,2
R000009,R0000069,3
R000009,R0000070,2
R000009,R0000071,0
R000009,R0000072,4
R000009,R0000073,1
R000009,R0000074,1
R000009,R0000075,3
R000009,R0000076,1
R000009,R0000077,0
R000009,R0000078,2
R000009,R0000079,3
R000009,R0000080,2
R000009,R0000081,1
R000009,R0000082,1
R000009,R0000083,2
R000009,R0000084,1
R000009,R0000085,0
R000009,R0000086,0
R000009,R0000087,0
R000009,R0000088,2
R000009,R0000089,1
R000009,R0000090,3
R000009,R0000091,0
R000009,R0000092,1
R000009,R0000093,1
R000009,R0000094,3
R000009,R0000095,0
R000009,R0000096,3
R000009,R0000097,4
R000009,R0000098,0
R000009,R0000099,3
R000009,R00000100,2
R0000010,R0000011,2
R0000010,R0000012,2
R0000010,R0000013,3
R0000010,R0000014,2
R0000010,R0000015,1
R0000010,R0000016,4
R0000010,R0000017,2
R0000010,R0000018,0
R0000010,R0000020,3
R0000010,R0000021,3
R0000010,R0000022,0
R0000010,R0000023,0
R0000010,R0000024,2
R0000010,R0000025,1
R0000010,R0000026,1
R0000010,R0000027,1
R0000010,R0000028,1
R0000010,R0000029,0
R0000010,R0000030,3
R0000010,R0000031,3
R0000010,R0000032,2
R0000010,R0000033,3
R0000010,R0000034,2
R0000010,R0000035,2
R0000010,R0000036,0
R0000010,R0000037,1
R0000010,R0000038,2
R0000010,R0000039,0
R0000010,R0000040,1
R0000010,R0000041,2
R0000010,R0000042,3
R0000010,R0000043,1
R0000010,R0000044,2
R0000010,R0000045,3
R0000010,R0000046,2
R0000010,R0000047,1
R0000010,R0000048,2
R0000010,R0000049,5
R0000010,R0000050,1
R0000010,R0000051,1
R0000010,R0000052,1
R0000010,R0000053,3
R0000010,R0000054,3
R0000010,R0000055,2
R0000010,R0000056,4
R0000010,R0000057,2
R0000010,R0000058,2
R0000010,R0000059,0
R0000010,R0000060,1
R0000010,R0000061,1
R0000010,R0000062,0
R0000010,R0000063,1
R0000010,R0000064,1
R0000010,R0000065,4
R0000010,R0000066,0
R0000010,R0000067,0
R0000010,R0000068,2
R0000010,R0000069,3
R0000010,R0000070,1
R0000010,R0000071,0
R0000010,R0000072,4
R0000010,R0000073,2
R0000010,R0000074,0
R0000010,R0000075,1
R0000010,R0000076,1
R0000010,R0000077,0
R0000010,R0000078,2
R0000010,R0000079,2
R0000010,R0000080,1
R0000010,R0000081,1
R0000010,R0000082,1
R0000010,R0000083,2
R0000010,R0000084,0
R0000010,R0000085,0
R0000010,R0000086,0
R0000010,R0000087,0
R0000010,R0000088,2
R0000010,R0000089,1
R0000010,R0000090,2
R0000010,R0000091,0
R0000010,R0000092,1
R0000010,R0000093,1
R0000010,R0000094,3
R0000010,R0000095,2
R0000010,R0000096,2
R0000010,R0000097,2
R0000010,R0000098,1
R0000010,R0000099,3
R0000010,R00000100,1
R0000011,R0000012,1
R0000011,R0000013,3
R0000011,R0000014,1
R0000011,R0000015,0
R0000011,R0000016,2
R0000011,R0000017,2
R0000011,R0000018,0
R0000011,R0000020,3
R0000011,R0000021,2
R0000011,R0000022,0
R0000011,R0000023,0
R0000011,R0000024,2
R0000011,R0000025,1
R0000011,R0000026,2
R0000011,R0000027,0
R0000011,R0000028,0
R0000011,R0000029,0
R0000011,R0000030,4
R0000011,R0000031,1
R0000011,R0000032,2
R0000011,R0000033,2
R0000011,R0000034,0
R0000011,R0000035,2
R0000011,R0000036,1
R0000011,R0000037,0
R0000011,R0000038,2
R0000011,R0000039,0
R0000011,R0000040,0
R0000011,R0000041,2
R0000011,R0000042,1
R0000011,R0000043,2
R0000011,R0000044,0
R0000011,R0000045,3
R0000011,R0000046,2
R0000011,R0000047,1
R0000011,R0000048,2
R0000011,R0000049,2
R0000011,R0000050,2
R0000011,R0000051,2
R0000011,R0000052,1
R0000011,R0000053,3
R0000011,R0000054,3
R0000011,R0000055,0
R0000011,R0000056,2
R0000011,R0000057,0
R0000011,R0000058,2
R0000011,R0000059,0
R0000011,R0000060,0
R0000011,R0000061,0
R0000011,R0000062,1
R0000011,R0000063,1
R0000011,R0000064,1
R0000011,R0000065,2
R0000011,R0000066,0
R0000011,R0000067,1
R0000011,R0000068,0
R0000011,R0000069,2
R0000011,R0000070,2
R0000011,R0000071,0
R0000011,R0000072,2
R0000011,R0000073,1
R0000011,R0000074,1
R0000011,R0000075,2
R0000011,R0000076,1
R0000011,R0000077,1
R0000011,R0000078,1
R0000011,R0000079,1
R0000011,R0000080,0
R0000011,R0000081,0
R0000011,R0000082,1
R0000011,R0000083,1
R0000011,R0000084,0
R0000011,R0000085,1
R0000011,R0000086,0
R0000011,R0000087,0
R0000011,R0000088,2
R0000011,R0000089,0
R0000011,R0000090,2
R0000011,R0000091,0
R0000011,R0000092,0
R0000011,R0000093,0
R0000011,R0000094,2
R0000011,R0000095,0
R0000011,R0000096,2
R0000011,R0000097,2
R0000011,R0000098,0
R0000011,R0000099,2
R0000011,R00000100,1
R0000012,R0000013,0
R0000012,R0000014,2
R0000012,R0000015,1
R0000012,R0000016,3
R0000012,R0000017,2
R0000012,R0000018,0
R0000012,R0000020,3
R0000012,R0000021,1
R0000012,R0000022,1
R0000012,R0000023,0
R0000012,R0000024,0
R0000012,R0000025,2
R0000012,R0000026,0
R0000012,R0000027,0
R0000012,R0000028,0
R0000012,R0000029,1
R0000012,R0000030,1
R0000012,R0000031,0
R0000012,R0000032,0
R0000012,R0000033,1
R0000012,R0000034,2
R0000012,R0000035,0
R0000012,R0000036,1
R0000012,R0000037,2
R0000012,R0000038,3
R0000012,R0000039,0
R0000012,R0000040,0
R0000012,R0000041,1
R0000012,R0000042,0
R0000012,R0000043,2
R0000012,R0000044,1
R0000012,R0000045,0
R0000012,R0000046,0
R0000012,R0000047,0
R0000012,R0000048,0
R0000012,R0000049,1
R0000012,R0000050,0
R0000012,R0000051,1
R0000012,R0000052,0
R0000012,R0000053,0
R0000012,R0000054,0
R0000012,R0000055,1
R0000012,R0000056,2
R0000012,R0000057,0
R0000012,R0000058,0
R0000012,R0000059,0
R0000012,R0000060,2
R0000012,R0000061,1
R0000012,R0000062,1
R0000012,R0000063,0
R0000012,R0000064,2
R0000012,R0000065,1
R0000012,R0000066,0
R0000012,R0000067,1
R0000012,R0000068,1
R0000012,R0000069,3
R0000012,R0000070,1
R0000012,R0000071,1
R0000012,R0000072,0
R0000012,R0000073,0
R0000012,R0000074,0
R0000012,R0000075,0
R0000012,R0000076,2
R0000012,R0000077,1
R0000012,R0000078,1
R0000012,R0000079,1
R0000012,R0000080,0
R0000012,R0000081,0
R0000012,R0000082,0
R0000012,R0000083,0
R0000012,R0000084,1
R0000012,R0000085,2
R0000012,R0000086,0
R0000012,R0000087,1
R0000012,R0000088,1
R0000012,R0000089,1
R0000012,R0000090,1
R0000012,R0000091,0
R0000012,R0000092,1
R0000012,R0000093,1
R0000012,R0000094,2
R0000012,R0000095,2
R0000012,R0000096,2
R0000012,R0000097,1
R0000012,R0000098,2
R0000012,R0000099,2
R0000012,R00000100,1
R0000013,R0000014,2
R0000013,R0000015,0
R0000013,R0000016,2
R0000013,R0000017,1
R0000013,R0000018,0
R0000013,R0000020,2
R0000013,R0000021,3
R0000013,R0000022,0
R0000013,R0000023,1
R0000013,R0000024,3
R0000013,R0000025,1
R0000013,R0000026,2
R0000013,R0000027,1
R0000013,R0000028,1
R0000013,R0000029,0
R0000013,R0000030,4
R0000013,R0000031,2
R0000013,R0000032,3
R0000013,R0000033,3
R0000013,R0000034,1
R0000013,R0000035,4
R0000013,R0000036,1
R0000013,R0000037,0
R0000013,R0000038,1
R0000013,R0000039,0
R0000013,R0000040,0
R0000013,R0000041,3
R0000013,R0000042,2
R0000013,R0000043,1
R0000013,R0000044,1
R0000013,R0000045,4
R0000013,R0000046,3
R0000013,R0000047,1
R0000013,R0000048,4
R0000013,R0000049,3
R0000013,R0000050,2
R0000013,R0000051,2
R0000013,R0000052,2
R0000013,R0000053,4
R0000013,R0000054,5
R0000013,R0000055,1
R0000013,R0000056,2
R0000013,R0000057,1
R0000013,R0000058,3
R0000013,R0000059,0
R0000013,R0000060,1
R0000013,R0000061,0
R0000013,R0000062,0
R0000013,R0000063,2
R0000013,R0000064,1
R0000013,R0000065,3
R0000013,R0000066,0
R0000013,R0000067,0
R0000013,R0000068,1
R0000013,R0000069,2
R0000013,R0000070,2
R0000013,R0000071,0
R0000013,R0000072,4
R0000013,R0000073,1
R0000013,R0000074,0
R0000013,R0000075,2
R0000013,R0000076,0
R0000013,R0000077,0
R0000013,R0000078,2
R0000013,R0000079,2
R0000013,R0000080,2
R0000013,R0000081,1
R0000013,R0000082,1
R0000013,R0000083,2
R0000013,R0000084,0
R0000013,R0000085,0
R0000013,R0000086,0
R0000013,R0000087,0
R0000013,R0000088,2
R0000013,R0000089,1
R0000013,R0000090,3
R0000013,R0000091,0
R0000013,R0000092,1
R0000013,R0000093,1
R0000013,R0000094,3
R0000013,R0000095,0
R0000013,R0000096,3
R0000013,R0000097,4
R0000013,R0000098,0
R0000013,R0000099,3
R0000013,R00000100,2
R0000014,R0000015,3
R0000014,R0000016,4
R0000014,R0000017,1
R0000014,R0000018,0
R0000014,R0000020,3
R0000014,R0000021,2
R0000014,R0000022,2
R0000014,R0000023,0
R0000014,R0000024,2
R0000014,R0000025,6
R0000014,R0000026,1
R0000014,R0000027,1
R0000014,R0000028,4
R0000014,R0000029,4
R0000014,R0000030,4
R0000014,R0000031,1
R0000014,R0000032,5
R0000014,R0000033,2
R0000014,R0000034,2
R0000014,R0000035,2
R0000014,R0000036,4
R0000014,R0000037,6
R0000014,R0000038,1
R0000014,R0000039,0
R0000014,R0000040,1
R0000014,R0000041,2
R0000014,R0000042,2
R0000014,R0000043,2
R0000014,R0000044,3
R0000014,R0000045,2
R0000014,R0000046,2
R0000014,R0000047,0
R0000014,R0000048,2
R0000014,R0000049,2
R0000014,R0000050,1
R0000014,R0000051,4
R0000014,R0000052,4
R0000014,R0000053,2
R0000014,R0000054,2
